incident_type,description_length,has_media,upvotes,flags,duplicate_score,injuries_reported,people_involved,distance_to_responder,near_sensitive_location,time_of_day,priority_score
flood,74,0,2,0,0.11407128849644227,0,6,1.7582160469577248,0,evening,32
medical_emergency,40,0,3,0,0.047551927295420654,1,5,3.400450827773496,0,night,81
fire,8,1,0,0,0.3770307751445237,0,4,1.9560104264392792,0,night,52
infrastructure_failure,99,0,1,0,0.14452796841053833,0,4,1.8776551737510783,0,evening,23
violence,53,1,2,1,0.09948433350210314,0,3,1.5234877230336124,0,night,55
infrastructure_failure,103,1,3,0,0.4122992217298317,0,1,2.4678135653696494,1,afternoon,41
road_accident,102,0,2,0,0.07799850326119082,0,1,4.070656479799327,0,afternoon,36
fire,69,0,2,0,0.2216532137081418,0,2,4.631765434929248,1,morning,30
fire,73,1,3,0,0.15171264884908772,0,4,4.919827089087325,1,evening,78
flood,95,0,2,1,0.23602419545121608,1,2,1.2759048218869022,1,afternoon,49
road_accident,84,0,1,0,0.0,0,1,3.4863618927174804,0,morning,37
fire,111,1,0,0,0.2659876842974327,0,7,1.4322644700798182,0,night,71
fire,28,0,0,0,0.15764262645669466,0,3,1.705902038765325,0,morning,43
gas_leak,101,1,2,1,0.0740494085613346,1,1,3.9707558036152886,0,morning,64
flood,118,0,2,0,0.20641438277308208,0,4,5.373084603233423,1,evening,29
fire,64,1,1,0,0.1663570779391264,1,6,3.3948600697782165,1,evening,95
road_accident,115,1,2,0,0.04249843985754634,0,2,6.8508729699932465,0,morning,41
road_accident,119,1,1,0,0.0889237265083625,0,2,0.73054750858517,0,morning,44
flood,86,0,0,0,0.04448166145763313,0,3,5.254465249852292,1,night,33
road_accident,27,1,4,1,0.03625526897327849,1,1,4.904972029642817,0,afternoon,59
power_outage,9,0,2,0,0.037223007481206466,0,4,7.89341794505448,0,afternoon,28
medical_emergency,102,1,0,0,0.4319131412321281,1,1,4.521936531534268,1,night,77
road_accident,67,1,0,1,0.09128266639115232,0,6,4.670217162881461,0,afternoon,48
gas_leak,45,0,3,0,0.29945596742253927,0,2,4.150210992154136,0,morning,54
road_accident,71,1,2,1,0.0,0,5,0.24711025928434838,0,morning,61
flood,75,1,1,0,0.3494604469779642,0,3,1.616615583000492,0,morning,30
road_accident,34,0,3,0,0.2600591789516507,0,4,6.61135277774731,0,afternoon,33
fire,97,1,3,0,0.3464639436721971,0,5,0.19743821364520864,0,night,84
flood,16,0,2,0,0.22325981275554097,1,4,2.174174828328306,0,night,59
gas_leak,94,0,0,0,0.12755880044716927,1,7,2.5558963228513005,1,afternoon,83
power_outage,45,1,2,0,0.39695447332477074,0,1,5.81392362743498,0,evening,19
medical_emergency,59,0,0,1,0.2849038589356114,0,3,0.13451853301982242,0,evening,49
flood,78,0,3,1,0.32531714566641534,0,5,0.5528173039736588,0,evening,34
gas_leak,8,0,2,0,0.2545590198981042,0,3,6.066301825835234,1,afternoon,58
violence,17,1,0,0,0.0,0,7,3.7414118062131445,0,morning,50
infrastructure_failure,118,1,4,0,0.6628470247439809,0,4,3.8278118071807135,0,afternoon,27
power_outage,9,0,3,0,0.37609273678092636,1,6,0.17351417855048057,1,afternoon,75
gas_leak,51,1,2,0,0.0,0,3,7.2322040102380845,0,night,54
fire,110,1,0,0,0.024323634507499997,0,2,8.241526984552761,0,afternoon,43
infrastructure_failure,24,1,1,0,0.0,0,5,4.714100041680902,0,evening,47
gas_leak,53,1,4,1,0.19624722308027548,0,7,0.5499233089296203,0,afternoon,56
violence,66,0,1,1,0.3483947698863429,0,4,3.2258496810443673,0,afternoon,29
flood,73,0,2,1,0.6738287716707303,0,1,4.324087240792152,0,night,4
road_accident,56,0,2,0,0.3774300890282415,0,3,2.1921779940959114,0,night,45
flood,30,1,4,0,0.31172097755912204,1,7,4.4451600820916894,0,night,61
infrastructure_failure,113,1,4,1,0.1162189671672704,0,7,5.450338307651919,0,afternoon,23
violence,32,1,2,0,0.45452728298049827,1,3,6.683351345578213,0,night,62
road_accident,106,1,0,1,0.32841192623698023,1,2,3.603437868872239,0,night,75
violence,75,1,2,0,0.08293323006739518,0,7,0.5422088757245902,0,evening,60
gas_leak,63,1,2,0,0.1701698504336093,1,7,1.6837133453615858,1,morning,98
medical_emergency,10,0,3,0,0.23737028388105164,0,4,2.5850918488940735,1,morning,60
gas_leak,39,0,3,1,0.05017599684123886,0,1,4.5371142240500895,0,morning,46
road_accident,12,0,2,1,0.3230454341361949,1,3,4.695698026136553,0,morning,57
medical_emergency,88,1,2,0,0.10682996617348915,0,3,3.9923334936055768,0,night,58
fire,52,0,4,0,0.38548521567844934,0,3,2.4780847638945263,0,afternoon,43
medical_emergency,89,0,4,1,0.24133302742945759,1,7,3.1645630187687885,1,night,88
flood,78,1,1,0,0.43012133526931373,0,1,2.6399351467365046,0,afternoon,15
power_outage,72,1,2,1,0.33534247124588573,0,6,5.649177971681545,0,afternoon,36
violence,36,1,2,0,0.06682263023659027,0,1,0.24218581426525798,1,morning,55
fire,88,0,2,0,0.0,0,5,5.419406122216318,1,morning,48
medical_emergency,87,0,0,0,0.097999505748181,1,3,5.591106061621774,0,night,64
violence,10,1,2,1,0.2924903347517983,0,7,2.935017321478126,0,afternoon,58
violence,18,0,0,0,0.4701869912008029,0,4,5.349415807775193,1,night,43
road_accident,15,1,2,0,0.26698365039676897,1,2,4.5535187606500385,0,night,61
violence,84,0,3,0,0.27860851404026094,0,6,1.572098930456801,0,morning,51
gas_leak,74,1,3,0,0.24959190122268557,0,6,1.7432003056663985,1,night,90
flood,10,1,4,0,0.44896610015700944,1,2,6.473252544841716,0,night,47
violence,60,1,1,1,0.014316275563371589,1,4,2.335543877398316,0,afternoon,84
medical_emergency,86,1,1,0,0.18260679680782024,1,1,2.592911138783304,0,evening,65
violence,105,0,5,0,0.1262980559039232,1,5,3.6685554320086133,0,morning,59
fire,49,0,2,1,0.09690168358126537,0,5,7.145374633350507,0,afternoon,31
infrastructure_failure,91,1,1,0,0.47760607028872987,1,5,7.469893594395542,0,afternoon,37
road_accident,87,1,3,0,0.0,1,7,3.1690763201839673,0,night,89
medical_emergency,83,0,3,0,0.0,0,4,6.152521212179147,0,night,55
violence,33,0,0,2,0.27740749649439256,0,5,2.7924291006988806,0,evening,36
flood,95,1,0,0,0.04140071308523696,1,5,7.055108707345236,0,evening,50
power_outage,15,1,1,0,0.27202060543667905,0,6,1.435370597547133,1,evening,56
road_accident,54,0,4,0,0.3203242633152399,0,5,2.3628269016424763,0,evening,60
fire,96,0,2,0,0.41366545500086843,0,5,5.2654359411033145,1,evening,58
road_accident,78,0,6,1,0.0,1,4,1.5218444205955137,0,morning,63
flood,73,0,3,0,0.0,0,1,4.492409652482552,0,evening,17
fire,107,0,2,0,0.0,0,6,3.8761361374500822,0,morning,59
medical_emergency,75,0,2,1,0.3035843601489974,0,7,0.8892663410865462,1,night,78
infrastructure_failure,43,1,1,1,0.0,0,5,4.373045064867371,0,evening,35
medical_emergency,49,1,1,0,0.18804972726323543,0,4,3.8530476553974604,1,morning,56
violence,28,1,0,0,0.2220135505458111,1,4,4.6952556638800536,1,night,73
medical_emergency,25,1,2,1,0.08067783484082935,1,1,7.503060702737042,1,night,67
medical_emergency,39,1,3,0,0.42042519877270573,0,1,7.071472437057901,0,morning,43
road_accident,46,1,2,0,0.0,0,7,4.751762774207606,1,afternoon,72
violence,9,0,1,0,0.2061350242866607,0,1,1.8060588916709879,0,night,43
power_outage,37,0,1,0,0.09166030198377798,0,4,7.179659251042947,0,afternoon,18
infrastructure_failure,24,1,2,0,0.4850237045691369,1,5,2.825083135682985,0,night,55
infrastructure_failure,45,1,6,1,0.2690501547418278,1,6,3.793789990521021,0,morning,54
gas_leak,59,1,1,1,0.0,0,5,4.6175809192075965,0,afternoon,54
flood,37,0,1,1,0.10450862787113176,0,4,5.5219682625730915,0,afternoon,13
fire,17,1,1,0,0.20507260832644308,0,7,3.479938207382752,1,night,73
infrastructure_failure,52,0,3,0,0.3471979338560517,0,3,0.021233343977141494,0,night,34
power_outage,38,1,3,0,0.0,0,6,6.2641599531594165,0,night,37
medical_emergency,87,0,2,0,0.46833070463299137,0,7,2.1505141402099324,0,afternoon,51
road_accident,70,0,2,0,0.012084888800313554,0,5,3.040286927869533,0,night,50
violence,94,0,2,0,0.0,1,6,4.351323657479993,0,afternoon,75
flood,67,1,1,0,0.17797755752460104,0,2,2.542655484719546,0,morning,14
gas_leak,9,1,4,1,0.19910684287279315,1,4,4.523100014233401,0,afternoon,72
gas_leak,94,0,3,0,0.26596228993363497,0,4,2.9347001212223014,0,morning,53
road_accident,38,0,3,0,0.07801123344462091,0,1,1.8545849644056762,0,evening,47
fire,118,0,2,1,0.17733098486956994,0,4,1.92153259062162,0,night,57
medical_emergency,17,1,1,1,0.4360085995372589,0,6,5.616838580109258,1,evening,62
violence,80,0,3,0,0.24139180061159823,0,5,1.5017353118752272,0,evening,44
road_accident,46,0,2,2,0.0,0,5,0.8325939865316991,1,afternoon,60
road_accident,96,1,3,0,0.40246375602677453,1,5,1.7413330324448417,1,evening,91
fire,46,1,3,0,0.0827557591174708,0,4,7.48502506306296,0,afternoon,53
road_accident,113,1,0,0,0.16237581368851545,0,2,1.6288550007395397,0,night,56
infrastructure_failure,23,0,5,1,0.045541001941725195,0,5,5.202432036013015,0,evening,37
flood,52,0,3,0,0.1290833546055642,1,4,2.5939824604983768,0,afternoon,44
infrastructure_failure,67,1,1,0,0.6604758714202854,0,7,7.0334628820288465,1,evening,45
road_accident,62,1,3,0,0.03718735598190212,0,5,2.833195522331677,0,evening,57
violence,82,0,3,0,0.16917514842132458,1,6,6.024300526421534,0,evening,67
medical_emergency,88,1,1,0,0.10500016443573094,0,2,5.197165782214813,1,night,59
gas_leak,8,1,2,0,0.29517479224393894,0,5,3.4394672088886002,1,morning,76
violence,99,1,1,0,0.18197226623360852,0,4,3.051917749610675,0,afternoon,52
medical_emergency,14,1,1,0,0.07532091959058154,0,1,1.8333285726004718,0,night,61
flood,44,0,5,2,0.2802800170400935,0,7,1.9528026503603588,0,afternoon,30
power_outage,68,1,2,0,0.19358453318645297,0,2,4.323759917100061,1,night,39
medical_emergency,64,1,2,0,0.2727662951024214,1,1,1.5551659999697458,0,evening,61
gas_leak,27,1,2,1,0.01824847315221126,0,6,2.0788788059260224,0,evening,61
violence,35,0,1,0,0.2154931156988615,0,5,4.90532277478606,1,afternoon,54
road_accident,15,1,2,0,0.18598930453769563,0,4,2.3399709226715153,0,afternoon,47
violence,77,0,1,1,0.0,0,7,5.839424669056049,1,morning,53
fire,108,1,1,0,0.12300397633158465,1,1,5.219958484888406,0,evening,72
infrastructure_failure,35,1,3,0,0.033947708532125226,1,4,6.082199395033695,1,afternoon,50
fire,109,0,2,1,0.1540546504215944,0,1,0.7307903716213762,0,morning,37
fire,119,1,2,1,0.21256025842978363,0,7,5.7924428629584614,0,night,53
road_accident,35,1,4,0,0.12607244136156498,1,1,2.8013389625877765,0,evening,67
infrastructure_failure,106,0,2,0,0.019940361570996573,1,7,2.0089610648453267,1,morning,72
violence,45,1,3,0,0.10718047390840196,1,4,3.2082057579583383,0,night,70
gas_leak,55,1,0,0,0.16006503731684488,0,7,4.427705830181778,0,night,66
gas_leak,37,0,3,0,0.28913833156234015,0,4,1.496451589257589,0,evening,59
road_accident,117,1,1,1,0.27709633324522936,1,5,5.478098570112483,0,night,73
power_outage,80,1,2,1,0.2206479112695143,0,6,1.459823104780737,1,afternoon,45
violence,26,0,0,0,0.0,1,1,3.2581370261855964,1,evening,82
fire,98,0,1,0,0.0,0,4,1.5288026250080955,0,afternoon,47
road_accident,90,0,0,0,0.3451815518025799,0,1,3.9533089393349288,0,night,26
fire,46,1,2,1,0.18504099692683496,0,5,2.4330725175022634,1,night,76
road_accident,62,1,2,1,0.38688312671583625,0,6,3.6900086475615317,1,night,73
fire,99,1,4,0,0.18908105351336826,0,1,5.814290892822185,1,evening,55
power_outage,40,0,1,1,0.3473535191203817,0,5,0.8489922535821393,0,morning,18
violence,84,0,2,0,0.1447613932362729,0,2,5.279768133072547,0,night,41
medical_emergency,101,0,1,1,0.43077780577253977,0,4,3.7571126411504494,0,evening,45
fire,114,1,3,1,0.16253896569094287,0,2,3.129102834216352,0,evening,50
fire,48,1,1,0,0.5943485287770953,0,2,0.4672354299048558,0,morning,54
medical_emergency,81,0,2,0,0.0,1,1,3.1601758584904527,0,evening,72
violence,63,1,1,1,0.4199821944271497,0,6,3.7445787526369796,1,evening,71
gas_leak,13,1,1,0,0.11682271664274832,0,3,0.38805417684326793,1,afternoon,59
flood,36,1,2,0,0.20257818647790798,1,5,3.8436132104699303,0,morning,50
gas_leak,105,1,2,0,0.28058904664585,0,5,2.546828256327404,0,night,70
fire,107,1,2,0,0.258391994921824,0,4,2.7125956011614427,0,afternoon,62
medical_emergency,54,1,3,0,0.5525025417597069,0,4,0.2148370969373059,1,evening,81
gas_leak,115,0,2,1,0.20338045477696087,0,1,4.938166136563627,0,afternoon,35
medical_emergency,118,1,2,0,0.3882614087892565,0,7,6.126703771974212,0,night,56
gas_leak,70,1,0,0,0.015819002094206364,0,4,1.7522626823689025,1,evening,76
infrastructure_failure,31,0,3,0,0.0,0,6,6.019856214804177,0,morning,24
infrastructure_failure,44,0,3,1,0.2927076811897138,1,2,5.0744481384673605,0,morning,32
fire,106,1,0,0,0.22614296902069975,0,2,2.0146077950563606,0,afternoon,48
infrastructure_failure,67,0,3,0,0.3186642203178329,0,5,5.562654302778428,0,night,33
flood,60,0,3,0,0.42242811307379113,0,7,4.897919666460298,0,night,23
fire,21,1,3,0,0.23773869474943266,0,7,2.418400391609496,0,morning,58
flood,82,0,2,0,0.013861785897752471,0,3,4.237525111553887,0,afternoon,16
road_accident,57,1,0,0,0.1409789510276748,0,5,3.841419504489754,0,evening,56
power_outage,56,0,2,1,0.1687004045139498,0,3,3.148891963985009,0,morning,23
power_outage,40,0,2,0,0.3737715472264107,0,7,6.2194875879736795,0,night,29
road_accident,48,1,1,0,0.05528412674466743,0,3,3.501161509484514,0,afternoon,48
power_outage,38,0,0,1,0.4223219279507351,0,1,2.7957976419223414,0,afternoon,13
infrastructure_failure,115,0,2,0,0.14143468189674532,0,7,1.5867412211956722,0,night,45
violence,51,1,1,0,0.20736545157122982,0,5,1.2951875972807598,0,night,52
infrastructure_failure,50,0,2,0,0.3419387512971142,0,6,3.3297807390678997,1,night,43
medical_emergency,41,1,4,0,0.32111502247402757,1,7,4.801991094231032,0,night,73
road_accident,118,0,1,0,0.06947604316705502,0,1,3.862473850720337,0,morning,33
power_outage,35,0,1,0,0.06623583234176292,0,5,1.7465938321191996,0,evening,36
violence,113,0,2,0,0.12030949060676088,0,4,2.043312139971282,1,afternoon,51
road_accident,95,1,3,0,0.3149332149070074,0,5,2.979109073479069,0,afternoon,47
infrastructure_failure,68,0,2,1,0.21121681617749666,1,4,0.036854259659729216,1,afternoon,57
infrastructure_failure,51,0,2,0,0.16386515056048448,1,6,0.789286874407368,1,morning,59
fire,96,1,4,2,0.27250790979493583,0,4,0.015873574144245062,1,morning,68
flood,15,1,3,1,0.2766596971147465,0,6,3.5421251103146547,0,evening,47
flood,62,0,6,0,0.16563731748908625,0,3,2.422109658646823,0,afternoon,32
fire,96,1,1,1,0.19870399175773942,0,3,4.853066426299103,1,afternoon,45
gas_leak,8,0,3,0,0.0,1,3,5.977640191816111,0,afternoon,63
gas_leak,18,1,3,0,0.13438115362369576,0,3,0.2845764100482051,0,night,55
fire,48,1,4,0,0.06290373689515363,0,7,4.399861718233803,0,evening,60
power_outage,31,1,0,1,0.0,0,3,3.937685922952288,1,evening,33
violence,64,1,1,0,0.4184086519828988,0,5,4.26488826378434,0,evening,47
violence,43,1,1,0,0.09311684199386161,1,7,1.375333685666229,0,afternoon,75
medical_emergency,61,1,1,0,0.4040522249346289,1,3,5.051803462502592,0,afternoon,60
road_accident,103,1,0,0,0.0,0,2,3.792806217300925,0,night,51
violence,22,0,2,1,0.0,1,6,0.847323317397815,0,evening,75
fire,91,0,2,0,0.13371945045660355,0,7,2.4885923909767005,1,afternoon,69
violence,85,0,2,0,0.3402085706321806,1,1,2.621866055729204,0,night,61
infrastructure_failure,111,1,3,0,0.16746311183679916,0,3,0.7863639707399974,0,afternoon,35
violence,85,1,2,1,0.4496164519036076,1,4,1.7795474967636329,0,night,70
fire,12,0,1,0,0.19016971866954333,1,2,2.972222382423646,0,afternoon,54
road_accident,101,1,1,0,0.40028390749818654,0,3,2.3772630369429546,0,night,50
violence,27,0,0,1,0.28520705072467284,1,7,6.438442973718036,0,morning,49
road_accident,89,1,0,0,0.0,0,1,3.5965249202735743,0,night,47
road_accident,98,1,4,0,0.25142416404809587,0,3,1.153213560582325,0,morning,51
infrastructure_failure,77,0,3,0,0.2334246661533907,0,7,7.787076106987269,0,night,23
violence,58,0,0,0,0.0,1,1,4.615578769271007,1,evening,69
medical_emergency,13,0,4,1,0.0,0,1,6.633816428891796,1,afternoon,50
road_accident,80,1,1,1,0.2469600316427775,0,3,4.153680174662689,0,afternoon,49
medical_emergency,55,1,2,0,0.2971604466185523,1,5,1.9630693616886803,1,night,89
fire,26,1,1,1,0.27341782082755783,0,1,4.4955691599908665,0,morning,44
fire,96,1,1,0,0.07530833639203686,0,3,3.838430215372165,0,afternoon,56
violence,114,0,3,0,0.0,1,2,0.9781678541993211,1,night,78
road_accident,45,1,1,0,0.0,0,5,5.653632815103933,0,morning,40
road_accident,113,1,6,0,0.18125765223958595,0,5,5.215462091835406,0,afternoon,44
violence,116,0,2,0,0.0,0,7,2.9944408127345734,0,night,50
infrastructure_failure,94,0,2,0,0.1338987817405109,0,1,0.5395838217514957,0,morning,16
flood,39,1,2,0,0.33388682573008244,0,2,1.3258085120110201,1,morning,26
infrastructure_failure,54,1,0,0,0.0383071257501853,0,4,2.378593658592706,0,afternoon,26
violence,100,0,5,0,0.07427201676973516,0,7,8.419859165866129,0,night,57
gas_leak,110,0,3,1,0.39664973685536353,0,5,5.075095318904582,0,night,48
flood,36,0,6,0,0.062301449223897076,0,4,4.085824206986986,0,morning,19
medical_emergency,111,0,2,0,0.0,0,5,3.308162972721072,1,morning,65
gas_leak,47,1,2,0,0.09924635475281325,0,7,3.832227039227203,0,afternoon,58
infrastructure_failure,38,1,2,1,0.1298837015695399,0,2,5.81435589926053,1,night,34
road_accident,99,0,2,1,0.472341667880718,0,5,1.7378422547010413,0,night,55
violence,18,0,4,1,0.06523756372907488,1,7,0.24046143353884508,0,afternoon,69
power_outage,69,1,4,0,0.018550014119849356,0,4,4.744511575272658,0,morning,31
flood,103,0,3,0,0.31052461650652646,0,1,4.662464186108985,1,evening,24
violence,36,1,5,0,0.4582522963395819,0,6,3.6495799966785665,0,night,51
gas_leak,81,1,1,0,0.3362219623976568,0,1,4.847431346829925,0,afternoon,55
power_outage,103,1,3,0,0.0,1,3,4.868553978673307,0,morning,56
flood,90,1,6,0,0.0,0,3,2.282977196443249,1,evening,45
violence,89,0,5,0,0.0,0,5,6.116933093863093,0,morning,52
fire,22,0,2,0,0.42155741236785227,0,3,7.20703141315872,0,morning,36
road_accident,44,0,6,0,0.10382365959028862,0,2,1.072997933921887,1,morning,56
medical_emergency,91,1,1,0,0.0546616277354694,1,4,3.172188561399496,1,night,93
flood,15,0,4,1,0.34385218758297187,1,3,4.135038647776465,1,night,53
gas_leak,109,1,4,0,0.16818065063915924,0,5,0.09303974249975688,1,afternoon,76
violence,46,0,2,0,0.06121686469425505,0,4,2.4281535733711603,0,evening,49
violence,18,1,1,0,0.19434094933254026,1,2,1.6334570047802077,0,morning,62
infrastructure_failure,102,1,0,0,0.2541993210545136,0,3,3.1463776291138994,0,afternoon,30
road_accident,39,1,1,0,0.23131300694342743,0,1,1.2140381539380813,1,evening,51
medical_emergency,66,0,2,1,0.11011082625355323,0,4,4.3216586130107535,1,morning,49
infrastructure_failure,66,1,4,1,0.21715424369730865,1,5,3.875170092853598,0,night,48
infrastructure_failure,66,1,4,1,0.2523535040318073,0,2,2.829431003060974,1,evening,44
flood,52,1,1,0,0.46890887596370207,0,1,4.661385827674374,1,morning,28
gas_leak,118,1,1,0,0.4212164904480311,0,7,5.042762230188799,1,morning,63
flood,101,1,2,2,0.10527538582686422,0,7,6.554343112058586,0,morning,28
power_outage,61,0,3,0,0.3350500659559126,0,7,1.085048466896895,1,evening,59
violence,49,0,3,1,0.3585928832520704,0,7,6.923201258046249,0,evening,38
road_accident,56,1,3,1,0.26452165127773164,1,5,1.6652344207611722,0,morning,69
fire,63,1,0,0,0.5059090014808423,1,7,5.871607419956449,0,night,76
medical_emergency,117,1,2,0,0.29601215322276114,1,4,2.038706801022906,0,morning,81
fire,95,1,2,1,0.25833026507988094,0,1,0.9750789424055317,0,night,58
fire,33,1,6,0,0.18105734574537186,0,1,4.897981262291587,0,afternoon,43
flood,96,1,2,0,0.10478401254847727,0,4,1.1755731859274436,1,evening,48
gas_leak,114,1,2,0,0.2739528567978829,0,2,3.7702555647884357,0,morning,42
flood,116,0,3,0,0.34655050699982337,1,4,1.9258629976316937,0,evening,48
infrastructure_failure,97,1,1,0,0.15529555524581767,1,2,1.4057793879510814,1,morning,58
power_outage,47,0,3,0,0.12555100398410407,0,4,7.6529128461484195,1,evening,27
medical_emergency,24,0,2,1,0.23983150191149588,1,6,1.1282632700798287,1,afternoon,80
power_outage,13,0,3,0,0.2739371941236592,0,6,3.089032539225795,0,afternoon,29
medical_emergency,20,0,1,1,0.0634066164132252,0,6,7.291623748147627,0,afternoon,45
violence,55,1,1,0,0.0,1,7,6.01644079812486,0,evening,70
flood,99,0,3,0,0.0,0,4,2.670502827904632,1,evening,43
violence,115,1,1,0,0.2636386153757618,0,2,2.9369527643265423,1,morning,59
fire,100,0,3,0,0.45730240436792136,0,5,2.627161046212378,1,afternoon,59
power_outage,12,0,2,0,0.47137404060446314,0,1,1.9772651334308413,1,afternoon,24
road_accident,112,1,1,0,0.43158166799070974,0,5,6.321199643054328,0,night,52
medical_emergency,85,0,2,0,0.4692984020166008,0,4,2.452825074749991,0,evening,47
flood,71,1,0,0,0.4308767554333873,0,2,1.127218440473607,0,morning,18
road_accident,118,0,0,1,0.07555259046549158,0,1,5.799296006445392,0,afternoon,13
flood,70,1,2,0,0.46908888094158246,0,3,0.9437485183562613,0,afternoon,27
power_outage,116,0,2,0,0.321924713903556,1,4,1.794924783267807,1,night,66
flood,29,0,3,0,0.3648949803553978,0,5,1.7260020663001368,0,night,27
medical_emergency,59,0,1,0,0.29421110304236275,0,3,2.7837078142631317,0,morning,50
flood,100,1,1,1,0.26129145669356424,0,2,6.583143804985365,1,morning,15
gas_leak,9,1,5,0,0.0,0,4,7.386642076441159,0,afternoon,53
power_outage,19,1,0,0,0.5786717452069357,0,1,4.722295106271662,0,afternoon,26
road_accident,104,0,4,0,0.3230610358550451,0,4,3.378015803349656,0,evening,44
gas_leak,19,1,1,2,0.3277872432560948,0,4,4.307774352513555,0,afternoon,34
violence,22,1,5,0,0.12433543013846213,0,2,6.266927288936213,1,afternoon,62
power_outage,68,1,0,1,0.551205568693603,0,2,5.438470906414957,1,morning,23
road_accident,85,0,2,0,0.15983126584743967,1,2,4.6959374404562855,0,night,61
road_accident,94,0,0,0,0.16144858331560993,0,6,1.8275832122834097,0,morning,49
fire,102,1,2,0,0.4397940399369414,0,7,3.998502381284183,0,afternoon,46
road_accident,61,1,0,1,0.4706155691172198,0,7,3.355868080070789,1,night,60
fire,40,0,2,1,0.49847732707012454,0,2,5.229843639468141,0,night,39
violence,99,0,2,1,0.015364516944750106,1,4,5.974330884953171,0,night,65
gas_leak,63,0,2,0,0.3658545525214062,0,4,1.841390235393382,0,morning,51
flood,99,1,2,0,0.037267707847519954,0,3,7.218021853928273,1,evening,44
power_outage,44,0,2,0,0.0,0,7,5.279634389013825,0,night,31
road_accident,35,0,3,0,0.17199817498606962,0,6,6.655091991113885,0,morning,43
road_accident,86,0,1,0,0.0,0,1,0.21215756364356286,0,afternoon,50
infrastructure_failure,109,1,3,0,0.46667284271148496,0,1,6.692040606214267,1,night,40
road_accident,42,1,2,0,0.37925695579860697,1,4,4.060992851484118,0,morning,59
violence,11,0,1,0,0.01497138300679901,0,1,3.012285124002052,0,evening,34
flood,25,1,1,0,0.3971288741096417,0,1,4.453712099883053,0,night,25
flood,108,0,1,0,0.016867096167852508,0,6,9.293783468069531,0,afternoon,20
medical_emergency,22,1,0,2,0.07851187661770061,1,6,2.613232824056932,0,morning,70
medical_emergency,105,0,0,1,0.15236935339301677,1,4,4.216849874725434,1,night,83
infrastructure_failure,103,0,1,0,0.18001660275071216,0,1,3.76676030282865,0,afternoon,20
gas_leak,36,1,2,0,0.5483576605877127,0,2,4.448466121014301,0,afternoon,39
