incident_type,description_length,has_media,upvotes,flags,duplicate_score,similarity_to_previous,posted_at_night,account_age_days,total_reports_by_user,past_fraud_reports,user_total_flags,verified_user,fraud_label
fire,84,0,6,1,0.21991874554296623,0.38667842160833066,1,363,30,2,1,0,0
medical_emergency,17,0,3,1,0.19459991770845986,0.40478758191598474,0,414,7,1,1,1,0
power_outage,26,0,1,0,0.18466768978563267,0.393659817341957,1,886,1,0,7,1,0
power_outage,129,1,0,2,0.4545888589068208,0.23575816910564373,1,459,23,1,13,1,1
road_accident,43,1,4,0,0.0,0.20833264687247358,1,570,38,0,12,1,0
medical_emergency,19,1,1,0,0.5427735049059428,0.0,1,199,3,1,11,1,0
gas_leak,19,1,0,0,0.12824938562933147,0.8002351082277039,0,678,22,1,4,1,0
road_accident,76,1,4,1,0.4191726586353438,0.5615033861678171,0,553,17,0,13,1,0
violence,101,1,0,0,0.06970839821891522,0.27972492677851124,0,871,26,1,1,0,0
fire,65,0,0,2,0.26073346658563135,0.1882658055736065,1,370,12,2,1,0,0
fire,88,0,3,0,0.5534166942554497,0.2349261389515383,0,12,23,1,8,0,0
violence,140,0,1,0,0.3410783997927162,0.0,0,59,3,0,2,0,1
road_accident,139,1,4,0,0.29040132734079493,0.6117745756530386,1,420,34,1,1,1,0
fire,119,1,2,2,0.3848744351315505,0.17067801251098044,0,100,30,0,11,1,0
gas_leak,45,1,3,1,0.18476063054743622,0.07008252634346401,1,28,2,2,4,1,1
power_outage,51,1,2,1,0.09034034906868388,0.45603510476974757,0,133,20,1,11,0,0
road_accident,111,0,4,2,0.20337241375227344,0.3009125377287554,0,882,14,0,14,1,0
fire,63,1,1,0,0.41493898144644664,0.43662211897449815,0,223,23,1,3,1,0
medical_emergency,128,0,1,1,0.44315572217385635,0.3090097800995197,0,86,34,1,6,0,0
road_accident,30,0,1,2,0.4489946679324371,0.646757576390095,0,147,31,1,4,0,0
medical_emergency,67,0,4,2,0.0,0.1165694368149443,0,614,19,1,1,0,0
road_accident,92,1,2,1,0.0,0.6178502275934303,0,605,25,1,0,1,0
gas_leak,78,0,6,0,0.0,0.3927427428920548,0,740,15,0,6,0,0
power_outage,25,1,0,1,0.2045165761598265,0.44802113242521735,0,715,15,0,12,1,0
power_outage,56,0,3,1,0.306916013716821,0.33340239897671586,0,90,25,1,6,0,0
road_accident,46,0,1,1,0.33586066949111315,0.0,0,559,13,1,5,1,0
medical_emergency,126,1,3,0,0.3746858786789583,0.46438565904952006,0,167,10,1,2,0,0
road_accident,112,0,1,0,0.4704251987727057,0.7558491405747614,0,160,11,0,13,0,0
fire,11,0,2,1,0.30448336281927746,0.21646291257797579,0,554,32,0,13,1,0
road_accident,140,1,2,2,0.15623551251939677,0.4013571490678673,0,160,21,0,7,0,0
fire,90,0,4,0,0.35049884425391004,0.36900134785310285,0,845,29,1,8,1,0
violence,149,1,3,3,0.11440631961905964,0.54732890296365,1,286,21,0,5,1,0
violence,42,1,0,0,0.1272338110241234,0.05637752937671536,0,361,21,0,8,1,0
medical_emergency,59,1,3,1,0.40956067546292674,0.0,1,429,35,1,9,0,0
violence,18,1,1,1,0.2550726083264431,0.3477202508389491,0,768,10,1,8,1,0
road_accident,114,0,5,1,0.0,0.35902754383253205,0,173,12,2,11,1,0
violence,138,1,0,1,0.013789710638994562,0.0,1,517,19,0,8,1,0
road_accident,87,1,0,1,0.11144160198144218,0.20988622543001498,0,400,33,1,6,1,0
power_outage,56,0,4,0,0.0,1.0,0,455,37,0,4,1,0
gas_leak,83,0,1,1,0.41834286905193285,0.22655735556287515,0,493,21,0,4,0,0
violence,143,1,1,1,0.17020919478552815,0.12879932149327475,1,764,18,1,8,0,0
medical_emergency,145,1,0,1,0.21439515653862887,0.25506066500493946,1,242,21,1,6,0,0
road_accident,91,1,1,1,0.20878308493175562,0.37251070941332154,0,505,23,1,12,0,1
violence,25,1,5,1,0.4759357272015854,0.3971040020743571,1,520,10,0,11,0,0
road_accident,53,1,1,2,0.42319588382712114,0.3367850114271749,0,778,21,0,10,0,0
violence,15,1,0,1,0.20706397956831998,0.15524653924157691,0,846,25,0,3,1,1
gas_leak,117,0,5,1,0.46847165879065156,0.31498928701444046,1,360,7,0,10,1,0
violence,33,0,0,1,0.03470249827161162,0.34006527379845636,0,44,13,0,4,1,0
fire,27,0,3,1,0.21237581368851544,0.13736988644767495,1,874,34,0,9,0,0
medical_emergency,116,0,1,1,0.0,0.07342295469291449,0,755,31,0,7,1,0
violence,24,0,1,1,0.17508507950857471,0.054804484337415194,0,273,7,1,13,0,0
violence,136,1,3,0,0.07137828882252689,0.44647109577108146,1,664,12,1,5,1,0
power_outage,98,1,1,0,0.5224209537835836,0.5077029211386943,0,825,33,0,3,1,0
gas_leak,128,1,2,0,0.2753595244440167,0.0,0,877,19,0,13,1,0
violence,53,1,3,2,0.26798299790243374,0.3864904024282875,0,612,6,0,13,0,0
road_accident,40,1,1,0,0.07826888540566201,0.11159884674507548,1,270,10,0,5,1,0
road_accident,49,0,0,1,0.0,0.5459296954536415,0,690,33,1,5,0,0
violence,147,0,4,3,0.33028001704009347,0.17418211935913167,0,305,19,0,4,0,0
medical_emergency,121,1,2,1,0.19680257677362117,0.388078878394156,0,598,17,1,13,1,0
medical_emergency,26,0,2,1,0.12206318136114788,0.36844252697172153,0,294,10,3,2,0,1
violence,131,0,1,0,0.07467347983878214,0.464874326517673,1,782,27,2,7,0,1
road_accident,135,0,2,1,0.1732556326830022,0.6371114272991887,0,709,11,0,9,1,0
power_outage,89,1,1,2,0.0,0.6158437123927327,1,454,12,0,2,1,0
gas_leak,133,1,3,1,0.3112211871528361,0.21438298332345096,0,887,16,3,12,0,0
violence,106,0,1,1,0.15962145926220161,0.48967274150831885,1,645,35,0,12,1,0
violence,125,1,2,1,0.16029476940535964,0.5981721347281981,0,277,28,1,13,0,0
fire,86,0,3,1,0.25683107853228027,0.3838861480396575,0,724,16,0,2,0,0
road_accident,128,0,0,0,0.4062124497456332,0.25547847475416635,0,815,38,0,4,1,0
gas_leak,149,0,3,1,0.07606377056227615,0.3875340290928461,0,888,38,0,4,1,0
gas_leak,88,1,1,2,0.31988367660136197,0.1758950517693491,1,622,3,1,8,0,0
road_accident,128,0,2,1,0.08607331184834821,0.37296618641212337,1,286,9,0,7,1,0
road_accident,82,0,0,2,0.32709633324522935,0.574783928421873,0,622,22,2,14,0,0
gas_leak,16,0,3,2,0.08307643584569668,0.40959224568369623,1,201,9,1,0,1,1
violence,80,1,1,0,0.507790625834434,0.28211888112715433,0,179,4,1,11,1,0
gas_leak,95,0,2,0,0.17087403201428075,0.0,0,730,27,0,11,1,0
fire,146,0,1,1,0.19434236613102457,0.1619608986023542,0,341,9,1,0,0,0
road_accident,43,1,2,0,0.002013860838966569,0.0,0,332,8,2,4,1,1
medical_emergency,107,0,2,1,0.1821408713499335,0.4939449456666132,0,324,30,1,3,1,0
violence,117,1,0,0,0.280357840954011,0.46048516239235227,0,105,10,0,10,1,0
road_accident,125,1,1,1,0.48077780577253976,0.3792173455852783,0,350,2,0,13,1,0
medical_emergency,105,1,3,2,0.13367908422811547,0.793827723152378,0,611,9,0,9,1,0
fire,83,0,0,2,0.23591128051538532,0.2635976213258253,0,679,34,0,4,0,0
violence,23,1,3,1,0.44985442515689755,0.054148452933367175,0,325,8,0,3,1,0
road_accident,113,0,2,0,0.2294281679916606,0.31067564369977424,0,363,27,0,1,1,0
medical_emergency,126,1,4,3,0.0,0.0,0,278,4,3,8,1,0
fire,91,1,1,0,0.21973411265473786,0.23197735557571814,0,533,11,1,2,1,0
power_outage,115,0,2,0,0.44176257277749353,0.19141422354108034,0,787,37,1,7,1,0
fire,68,0,2,0,0.30882380378016056,0.7572524008373169,1,517,17,1,8,0,0
fire,52,1,2,1,0.7312319746713661,0.5892084327890242,0,407,15,1,8,1,0
fire,86,1,5,0,0.0007636082749714057,0.590772249553258,0,840,19,0,2,1,0
medical_emergency,26,0,2,0,0.4561700539385235,0.2171107656892358,1,664,35,0,8,0,0
medical_emergency,117,1,0,0,0.467667899974373,0.0,1,549,13,1,4,0,0
fire,108,1,3,0,0.6297000270356427,0.546150079609177,1,685,32,0,12,1,0
road_accident,123,0,1,0,0.4266365430397806,0.6589279348247099,0,508,34,0,7,1,0
gas_leak,57,0,1,0,0.17683680017871492,0.0042832556864437765,0,281,22,0,6,1,0
gas_leak,56,0,2,0,0.3442787997699209,0.0,0,260,13,2,7,1,1
medical_emergency,102,0,1,0,0.35085515943815904,0.1960928313756088,1,786,32,1,0,1,1
power_outage,125,1,2,1,0.2873768803727365,0.6149851390147876,0,850,15,2,2,0,0
power_outage,149,0,2,1,0.42377154722641075,0.6590326804515545,0,536,11,2,14,0,0
fire,144,0,0,1,0.426954886937062,0.27281971168037306,0,355,18,1,2,1,0
medical_emergency,145,1,4,1,0.37111951893714124,0.30889588988465466,0,804,18,1,5,0,0
gas_leak,69,0,1,0,0.2573654515712298,0.0994531360546318,1,44,10,0,4,0,0
gas_leak,142,1,3,1,0.504137773401015,0.21227220436128655,1,119,28,0,0,1,0
power_outage,138,1,1,1,0.36316885494405493,0.04337947754787752,1,12,16,1,4,0,0
road_accident,79,0,2,0,0.3036210849661642,0.4915702199293426,0,157,34,1,12,0,0
medical_emergency,108,0,4,0,0.13081644781583218,0.2005479033786601,0,362,26,2,10,1,0
violence,99,0,1,2,0.20266381531947797,0.0,1,559,31,1,1,0,0
road_accident,58,1,2,2,0.2693851010164209,0.4529465727614667,0,574,22,1,13,1,1
gas_leak,10,1,1,2,0.17273600434624087,0.4971383174426799,0,582,16,1,11,0,0
road_accident,80,1,2,1,0.3266596971147464,0.354786944353938,0,247,8,0,7,0,0
fire,43,0,6,1,0.16180897207110373,0.4671514491248979,0,567,8,1,5,1,0
power_outage,14,0,3,1,0.6562152513581412,0.273144138850435,0,404,30,2,0,1,0
power_outage,120,1,6,2,0.105284968214744,0.536522029884921,1,193,17,0,7,1,0
fire,60,0,2,0,0.21595832966013398,0.5804125279811148,0,132,23,1,14,1,0
fire,116,0,1,0,0.2520054813487763,0.5274103226264517,0,707,24,1,14,1,0
medical_emergency,8,1,2,1,0.37424262406844905,0.0,0,357,10,0,6,1,0
fire,90,0,3,2,0.0,0.1806088369160862,0,702,37,1,10,1,0
gas_leak,43,1,2,0,0.5195264147681424,0.22386189072894555,0,32,34,1,8,1,0
road_accident,72,0,1,1,0.3783510125667887,0.5900346266199366,0,563,36,2,14,0,0
fire,5,1,0,2,0.2131137174806604,0.33303055698175577,1,681,29,0,5,1,0
road_accident,80,0,2,1,0.0,0.3860232619018696,0,452,18,0,10,0,0
gas_leak,136,0,3,1,0.21746311183679914,0.0,1,525,35,2,10,0,0
violence,6,0,2,1,0.4681499173695521,0.415312632808464,0,595,18,0,7,1,0
fire,137,1,3,0,0.12334218107802797,0.5829949387398937,0,880,19,1,10,1,0
power_outage,88,0,1,1,0.1755762709978103,0.4150701266457215,0,29,24,0,9,0,0
medical_emergency,21,1,3,1,0.26732693975260885,0.0,0,583,3,0,8,0,0
gas_leak,26,1,1,2,0.229006612167929,0.16922806759103437,0,148,19,1,14,1,0
gas_leak,31,0,2,0,0.43317906403183043,0.41787382770641196,0,65,19,0,9,0,0
power_outage,127,0,2,1,0.3618193384490286,0.30928010563513975,1,137,36,2,9,1,1
gas_leak,149,1,3,1,0.2969600316427775,0.42428183802985103,0,379,9,0,2,1,0
medical_emergency,43,1,2,0,0.12425112959271023,0.13237072353807774,0,802,11,1,2,1,0
gas_leak,52,1,3,1,0.3094523553639653,0.0,0,888,27,1,2,0,0
fire,93,1,3,1,0.42987934802315564,0.29073075227860545,0,123,38,0,3,1,0
medical_emergency,102,1,2,1,0.1056783125123798,0.0,0,88,4,0,0,0,0
road_accident,106,1,1,0,0.39226694128930806,0.4350128236422226,0,621,20,1,3,1,0
medical_emergency,27,1,1,2,0.16130508049960857,0.4923535667252588,0,567,32,1,13,1,0
road_accident,117,1,2,0,0.32518126572708156,0.5617492719223646,0,465,12,2,2,1,1
power_outage,91,1,2,0,0.2701788904284131,0.7861597933146703,1,662,33,0,13,1,0
medical_emergency,119,1,2,0,0.002028849864237292,0.2088064989572644,0,382,28,1,10,1,0
fire,78,1,2,1,0.18540764495567452,0.36415711295304254,0,239,13,1,4,1,0
medical_emergency,21,1,2,1,0.19605820335877833,0.3374488457395638,0,529,25,1,2,1,0
violence,148,1,5,0,0.20699568844287486,0.7075389091399695,0,339,19,2,12,1,0
road_accident,132,1,0,2,0.40271755879695126,0.0,0,292,15,0,8,0,0
gas_leak,83,1,1,1,0.2771822123004075,0.2791831227901332,0,40,4,1,3,1,0
gas_leak,134,0,1,1,0.29833611756366557,0.7282523165009972,0,409,36,1,9,1,0
medical_emergency,103,0,2,0,0.3033835981253371,0.46579619881689616,1,401,16,1,2,1,0
power_outage,66,1,2,0,0.0538660532783701,0.15380952296807412,0,386,30,2,9,1,1
medical_emergency,144,1,3,1,0.4875749207197865,0.5317914360995071,0,61,1,1,11,1,0
gas_leak,78,0,3,0,0.07910362118936246,0.708683744916086,0,540,8,0,14,1,0
power_outage,64,1,4,2,0.16555317459535415,0.5111570615794241,1,182,38,0,3,0,0
power_outage,113,1,2,2,0.21565286701821784,0.3407801096640525,0,508,35,0,14,0,0
fire,103,0,2,0,0.4922913358114812,0.5497720530470597,0,450,10,0,8,1,0
gas_leak,32,1,3,1,0.37452576793007114,0.7493431974881286,1,715,32,1,1,1,0
fire,25,0,0,1,0.5395100760442946,0.4387420636894164,0,839,4,0,7,0,0
power_outage,146,1,1,0,0.0,0.0,0,532,30,2,11,1,1
power_outage,70,0,2,0,0.23668943819048932,0.23708513096009431,0,721,20,2,13,0,0
fire,92,0,0,0,0.3738880121291524,0.094639844335352,0,223,8,2,4,1,1
violence,21,0,1,0,0.21818065063915923,0.0,0,358,24,0,3,1,0
road_accident,44,1,0,0,0.3477933995348123,0.045519093308721836,0,93,30,0,9,1,0
violence,105,1,2,3,0.16200702830630148,0.2803917793402875,0,31,11,1,13,1,0
gas_leak,103,1,2,3,0.5282282135786591,0.16271418382659972,0,181,34,1,12,1,0
road_accident,147,1,0,0,0.5230263160833772,0.4394595871677559,0,40,20,0,4,1,0
violence,42,0,2,0,0.5313199783314756,0.28150172954267394,0,830,13,2,0,1,0
medical_emergency,18,0,1,0,0.0893814297660796,0.450522064550735,0,422,28,0,2,1,0
gas_leak,100,0,2,0,0.15418379213263778,0.648784794958359,0,699,12,1,14,1,0
road_accident,35,1,2,0,0.30331326485158244,0.4438042392892906,0,276,13,0,3,1,0
medical_emergency,76,0,0,0,0.13188472812008023,0.1667767785681935,0,699,13,1,0,0,0
gas_leak,149,0,3,1,0.03074056512112211,0.5133754880139655,0,143,9,1,11,1,1
road_accident,61,1,1,0,0.0,0.27462565911978154,0,783,12,1,13,0,0
violence,69,0,1,1,0.04182352272920875,0.5014713869893175,0,506,29,2,7,0,1
power_outage,58,1,1,0,0.02807145628165056,0.09920504226929999,0,104,19,1,10,0,0
medical_emergency,42,0,3,2,0.407688422655363,0.7181676689377454,0,494,19,0,2,1,0
medical_emergency,52,0,2,2,0.3083302650798809,0.06307715254608315,0,472,14,1,14,1,0
medical_emergency,77,0,5,0,0.3643802850965844,0.07064545662165095,1,282,34,2,1,0,0
road_accident,93,0,4,1,0.3126920794179565,0.1668828857470864,0,250,15,0,4,1,0
fire,116,1,0,1,0.5913542330391008,0.4049460808561153,0,552,10,0,0,1,0
medical_emergency,59,1,0,1,0.30804404218031445,0.2942332411298146,0,514,1,1,2,0,0
medical_emergency,127,0,2,1,0.1465815442959017,0.24503413472842012,1,543,25,1,6,1,0
road_accident,83,0,2,1,0.055948813006531456,0.19083247624857194,0,657,38,1,13,0,0
power_outage,147,0,2,2,0.31049281022662045,0.8392936334099095,0,26,5,0,5,1,0
road_accident,18,0,1,1,0.4357362368562695,0.6864508168407173,0,612,35,0,11,0,0
fire,54,1,2,1,0.22020493275640107,0.18015385754841243,0,836,16,1,13,1,0
medical_emergency,35,1,2,0,0.0,0.1842016379061603,0,125,16,0,9,1,0
violence,102,0,1,1,0.20821672266127822,0.641153747577589,0,4,29,2,9,0,1
power_outage,10,1,0,0,0.2329974314004395,0.45490249300602953,0,809,19,0,5,0,1
gas_leak,116,0,3,1,0.0,0.1938408393314716,0,841,23,0,12,1,0
gas_leak,29,1,1,1,0.09871523157653245,0.2938135948712538,0,25,14,0,1,1,0
gas_leak,139,1,3,0,0.26502660259357314,0.22000622789811952,1,530,35,0,9,0,0
medical_emergency,80,1,1,0,0.6872459779621876,0.6750782980338981,0,72,7,0,6,1,0
gas_leak,47,0,1,1,0.0,0.19749425562541098,0,76,37,0,13,0,0
power_outage,33,1,2,1,0.3595195725053546,0.5285797339684133,0,285,20,1,14,1,0
power_outage,104,0,2,3,0.01711250767520417,0.04146971624773238,0,367,36,0,2,1,0
road_accident,13,1,0,0,0.3342088105424724,0.8703174071916807,0,278,4,0,1,1,0
violence,132,0,4,1,0.5271533372816581,0.6264762464793181,0,864,16,1,6,0,0
power_outage,8,0,1,1,0.0,0.3410525785154258,1,559,28,1,6,1,1
medical_emergency,44,1,1,0,0.3730610358550451,0.3361381594715518,0,737,13,1,5,1,0
gas_leak,111,1,2,1,0.46513972087390865,0.4695505654754394,0,688,20,1,1,1,0
fire,134,0,1,2,0.5419947582788972,0.8377855120744486,0,280,21,0,13,0,0
medical_emergency,80,1,6,2,0.48473592280845906,0.8096921059415932,0,663,32,1,10,0,1
gas_leak,144,1,2,0,0.291660266054603,0.5116223844314427,0,109,27,0,7,1,0
power_outage,35,1,1,0,0.48979403993694137,0.4066479978732026,0,607,22,1,4,1,0
violence,91,1,3,0,0.23373267439868056,0.5943296290160823,0,895,1,0,12,0,0
road_accident,135,0,1,1,0.3905467770065448,0.19384977330791495,0,243,19,1,12,0,0
violence,56,1,2,1,0.0,0.39887728753936413,1,299,13,1,3,0,0
gas_leak,15,0,1,1,0.05341054611074386,0.5586878315812205,0,742,28,2,7,1,0
fire,107,1,1,1,0.3770942044867237,0.2893296807969916,0,46,24,2,12,0,0
gas_leak,8,1,3,0,0.2892445165838617,0.10529643847971512,0,367,26,1,12,1,1
gas_leak,96,0,2,0,0.21160063612433153,0.5899891686084363,0,618,38,1,8,0,0
road_accident,78,1,3,0,0.04880506229328846,0.26032405673777026,1,644,26,0,6,1,0
power_outage,40,1,0,1,0.21322684000566935,0.55097983272018,0,508,29,0,14,0,0
gas_leak,43,1,1,1,0.20843215902244058,0.5212106843328939,1,90,7,1,14,0,0
gas_leak,48,1,2,2,0.20995451857991224,0.8617155489298894,1,229,12,2,10,1,1
power_outage,121,1,2,1,0.20781971601242855,0.5518611795020879,1,421,33,2,14,0,0
road_accident,102,0,5,2,0.6590382496804388,0.572259280569973,0,220,9,0,5,1,0
fire,78,1,2,0,0.09537504300363236,0.5533870099926376,0,35,6,0,5,1,0
medical_emergency,88,1,0,0,0.43999802838375557,1.0,1,195,9,1,12,1,0
medical_emergency,26,1,1,2,0.16216120308269943,0.5552417210921001,0,306,12,3,11,1,1
road_accident,27,0,2,0,0.10791753783082675,0.3755187290618459,0,444,28,1,10,0,0
violence,72,1,0,2,0.5254351357954032,0.5162317905754352,0,432,39,0,12,1,0
medical_emergency,70,0,0,0,0.19178243268117656,0.7117588649803008,1,111,11,2,6,1,0
violence,55,0,1,0,0.1411608278508612,0.5564315907367946,0,699,33,1,10,1,0
fire,102,0,3,0,0.4807586055569748,0.5082737336763442,0,685,8,0,6,1,0
road_accident,69,1,3,2,0.02580629388975958,0.1675147635244881,0,313,39,1,12,1,0
fire,139,0,2,1,0.3682504802183702,0.5570165190930948,0,112,13,0,3,1,0
road_accident,29,1,2,0,0.12780487717256056,0.27216214330599364,0,771,35,0,2,0,0
power_outage,39,0,1,2,0.418517621724391,0.3962025756224347,0,738,29,1,2,0,0
medical_emergency,84,1,1,1,0.0,0.8156866230893156,0,864,39,1,9,1,1
violence,129,0,0,1,0.44230828006492295,0.5010302223971295,0,388,17,0,2,1,0
medical_emergency,115,0,5,0,0.2002055435509396,0.46272284380312867,0,611,37,0,12,1,0
violence,77,0,1,0,0.2561249339930018,0.3778431504600131,0,151,29,0,2,0,0
violence,134,0,3,0,0.1335498691750694,0.09585978024691261,0,325,19,0,11,1,0
road_accident,72,0,2,1,0.21577157012702894,0.3641856417905135,0,305,25,2,5,1,0
violence,87,0,4,1,0.276885426808814,0.4410350740136653,0,439,17,1,10,1,0
fire,79,0,1,0,0.46654861339706644,0.5438559332723436,0,328,20,0,5,0,0
gas_leak,39,0,1,1,0.46450734947927164,0.329070510037697,0,172,23,0,10,0,0
power_outage,131,1,5,1,0.10942806546412995,0.24405613609800192,0,850,14,0,14,0,0
fire,51,0,0,3,0.23405577445245973,0.3827233719859489,0,546,15,0,8,1,0
power_outage,42,1,2,2,0.0,0.8837407349198487,0,445,22,0,1,0,0
